product_id,title,description,price,discount
1,product 1,this is product 1,600,4
2,product 2,this is product 22,450,8
3,product 3,this is product 33,350,4
4,product 4,this is product 44,256,8
5,product 5,this is product 55,550,7
6,product 6,this is product 66,380,9
7,product 7,this is product 77,420,12
8,product 8,this is product 3,550,25
9,product 9,this is product 4,560,10
10,product 10,this is product 5,650,16
11,product 11,this is product 6,258,20
12,product 12,this is product 7,640,8
13,product 13,this is product 8,840,7
14,product 14,this is product 9,444,5
15,product 15,this is product 10,333,9
16,product 16,this is product 11,521,12
17,product 17,this is product 12,380,13
18,product 18,this is product 13,423,12
19,product 19,this is product 14,280,11
20,product 20,this is product 15,340,15
21,product 21,this is product 16,460,17
22,product 22,this is product 17,820,9
23,product 23,this is product 18,390,13
24,product 24,this is product 19,410,11
25,product 25,this is product 20,221,12
26,product 26,this is product 21,250,17
27,product 27,this is product 22,280,8
28,product 28,this is product 23,300,7
29,product 29,this is product 24,320,9
30,product 30,this is product 25,330,6
31,product 31,this is product 26,345,7
32,product 32,this is product 27,356,7
33,product 33,this is product 28,375,8
34,product 34,this is product 29,385,6
35,product 35,this is product 30,390,7
36,product 36,this is product 31,425,7
37,product 37,this is product 32,465,9
38,product 38,this is product 33,458,5
39,product 39,this is product 34,545,8
40,product 40,this is product 35,667,7
41,product 41,this is product 36,654,6
42,product 42,this is product 37,697,6
43,product 43,this is product 38,420,3
44,product 44,this is product 39,456,3
45,product 45,this is product 40,585,4
46,product 46,this is product 41,485,5
47,product 47,this is product 42,367,5
48,product 48,this is product 43,388,7
49,product 49,this is product 44,219,2
50,product 50,this is product 45,188,4
51,product 51,this is product 46,488,10
